"FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,ANTHRO_MIN,ANTHRO_MAX,BIO_MIN,BIO_MAX,LEFT_CHANNEL,RIGHT_CHANNEL,from,to"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.725378400124271,-0.620884414297648,2730,2760"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.699658241029106,-0.580815245919556,2790,2820"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.752035641367435,-0.661263426536937,2760,2790"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.665241961675765,-0.364391464794977,2820,2850"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.695468279382543,-0.526701009487356,2850,2880"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.666055291360116,-0.552745046773208,2880,2910"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.66226015965407,-0.564604843200086,2910,2940"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.674613861125607,-0.54657754546459,2970,3000"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.629453710892316,-0.076517973252259,2940,2970"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.663750439898973,-0.516980418063994,3030,3060"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.607422664545162,-0.439360473551927,3000,3030"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.657751091217903,-0.525068831539521,3060,3090"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.616404933490969,-0.542142653567338,3090,3120"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.59972313802333,-0.518236569577748,3120,3150"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.65179146036576,-0.542510523641387,3150,3180"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.488630696386121,-0.330482742865513,3180,3210"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.2134293639187,-0.299462083348025,3210,3240"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.481137577827864,-0.504616963202414,3240,3270"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.629116381584008,-0.592186820883708,3270,3300"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.711606863242695,-0.381163330387692,3330,3360"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.73933042701688,-0.651954593249797,3300,3330"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.707716606480153,-0.622754640460735,3360,3390"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.724442948945942,-0.645172503490627,3390,3420"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.509447655452994,-0.49872704008447,3450,3480"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_170000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.675938053438708,-0.635287391994669,3420,3450"
